"input Size" "Execution Time (ns)"
10 2324
10 1613
10 1502
10 1573
10 1854
10 1273
10 1382
10 1793
10 1603
10 1853
10 1472
10 1753
10 1683
10 1463
10 1643
10 1433
10 1393
10 1843
10 1673
10 1523
10 1613
10 1463
10 1533
10 1362
10 1532
100 26771
100 23775
100 28013
100 24947
100 24717
100 30367
100 24546
100 24787
100 26030
100 25749
100 25128
100 26240
100 25548
100 27762
100 26240
100 25087
100 25969
100 24686
100 26590
100 24276
100 27172
100 25197
100 26049
100 25168
100 46688
1000 419263
1000 399616
1000 407551
1000 399075
1000 386772
1000 397562
1000 375150
1000 436866
1000 506609
1000 499695
1000 435514
1000 401429
1000 447467
1000 429573
1000 390429
1000 398243
1000 392303
1000 422699
1000 457987
1000 453919
1000 394056
1000 411249
1000 418101
1000 434101
1000 506759
